Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Alex,Junior Tafa,Parker Porter,-145,W,Round 1 TKO, 84:00,Heavyweight,Main Card,M,M. Goddard,
,Chika,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Daniel,Rinya Nakamura,Fernie Garcia,-800,W,UD, 900:00,Bantamweight,Main Card,M,K. Sataki,
,Goro,Rinya Nakamura,Fernie Garcia,-800,W,UD, 900:00,Bantamweight,Main Card,M,K. Sataki,
,Ian,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Joe,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Kanta,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Rav,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Scott,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
,Taylan,Rinya Nakamura,Fernie Garcia,-800,W,UD, 900:00,Bantamweight,Main Card,M,K. Sataki,
,Ty,Max Holloway,Chan Sung Jung,-800,W,Round 3 TKO, 623:00,Featherweight,Main Card,M,M. Goddard,
Week 2,Aaron,Rose Namajunas,Manon Fiorot,160,L,UD, 900:00,Flyweight (W),Main Card,F,R. Mitchell,
,Alex,Benoit Saint-Denis,Thiago Moises,-165,W,Round 2 TKO, 584:00,Lightweight,Main Card,M,L. Bosacki,
,Chika,Ciryl Gane,Serghei Spivac,-175,W,Round 2 TKO, 524:00,Heavyweight,Main Card,M,M. Goddard,
,Daniel,Benoit Saint-Denis,Thiago Moises,-165,W,Round 2 TKO, 584:00,Lightweight,Main Card,M,L. Bosacki,
,Goro,Bogdan Guskov,Volkan Oesdemir,155,L,Round 1 Sub, 226:00,Light Heavyweight,Main Card,M,M. Goddard,
,Ian,Jacqueline Cavalcanti,Zarah Fairn,-380,W,UD, 900:00,Catchweight,Prelim,F,R. Mitchell,
,Joe,Farid Basharat,Kleydson Rodrigues,-370,W,Round 1 Sub, 255:00,Bantamweight,Prelim,M,L. Para,
,Kanta,Caolan Loughran,Taylor Lapilus,145,L,UD, 900:00,Bantamweight,Prelim,M,L. Bosacki,
,Rav,Ciryl Gane,Serghei Spivac,-175,W,Round 2 TKO, 524:00,Heavyweight,Main Card,M,M. Goddard,
,Scott,Ciryl Gane,Serghei Spivac,-175,W,Round 2 TKO, 524:00,Heavyweight,Main Card,M,M. Goddard,
,Taylan,Ciryl Gane,Serghei Spivac,-175,W,Round 2 TKO, 524:00,Heavyweight,Main Card,M,M. Goddard,
,Ty,Ciryl Gane,Serghei Spivac,-175,W,Round 2 TKO, 524:00,Heavyweight,Main Card,M,M. Goddard,
Week 3,Alex,Jack Jenkins,Chepe Mariscal,-210,L,Round 2 TKO, 499:00,Featherweight,Prelim,M,G. Kleynjans,
,Chika,Israel Adesanya,Sean Strickland,-650,L,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Daniel,Israel Adesanya,Sean Strickland,-650,L,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Ian,Carlos Ulberg,Da Un Jung,-280,W,Round 3 Sub, 889:00,Light Heavyweight,Prelim,M,H. Dean,
,Joe,Sean Strickland,Israel Adesanya,470,W,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Rav,Israel Adesanya,Sean Strickland,-650,L,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Scott,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Taylan,Israel Adesanya,Sean Strickland,-650,L,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Ty,Israel Adesanya,Sean Strickland,-650,L,UD, 1500:00,Middleweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Tyson Pedro,Justin Tafa,Manel Kape,Tai Tuivasa,Sean Strickland,,4/5,N,,,
,Goro,Tyson Pedro,Justin Tafa,Manel Kape,Tai Tuivasa,Israel Adesanya,,3/5,N,,,
,Kanta,Tyson Pedro,Justin Tafa,Felipe Dos Santos,Tai Tuivasa,Israel Adesanya,,2/5,N,,,
Week 4,Ian,Lupita Godinez,Elise Reed,-440,W,Round 2 Sub, 518:00,Strawweight (W),Prelim,F,H. Dean,
,Joe,Raul Rosas Jr,Terrence Mitchell,-750,W,Round 1 TKO, 54:00,Bantamweight,Main Card,M,M.Smith,
Week 5,Ian,Mohammed Usman,Jake Collier,-145,W,UD, 900:00,Heavyweight,Prelim,M,D. Miragliotta,
,Joe,Mohammed Usman,Jake Collier,-145,W,UD, 900:00,Heavyweight,Prelim,M,D. Miragliotta,
Week 6,Ian,Joe Pyfer,Abdul Razak Alhassan,-400,W,Round 2 Sub, 425:00,Middleweight,Main Card,M,M. Smith,
,Joe,Drew Dober,Ricky Glenn,-410,W,Round 1 TKO, 156:00,Lightweight,Main Card,M,C. Tognoni,
Week 7,Ian,Michel Pereira,Andre Petroski,-205,W,Round 1 TKO, 66:00,Middleweight,Main Card,M,C. Tognoni,
,Joe,Darren Elkins,TJ Brown,150,W,Round 2 Sub, 743:00,Featherweight,Prelim,M,K. Hatley,
Week 8,Ian,Javid Basharat,Victor Henry,-600,W,NC, 315:00,Bantamweight,Prelim,M,L. Bosacki,
,Joe,Viktoriia Duddakova,Jinh Yu Frey,-535,W,UD, 900:00,Catchweight,Prelim,F,D. Movahedi,
