Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory,,,,,,,,,Season Victory
Week 1,Aaron,Petr Yan,Song Yadong,-155,W,UD, 900:00,Bantamweight,Main Card,M,K. Peterson,,,,,,,,,,
,Alex,Asu Almabayev,CJ Vargas,-600,W,UD, 900:00,Catchweight,E-Prelim,M,K. Peterson,,,,,,,,,,
,Chika,Petr Yan,Song Yadong,-155,W,UD, 900:00,Bantamweight,Main Card,M,K. Peterson,,,,,,,,,,
,Daniel,Asu Almabayev,CJ Vargas,-600,W,UD, 900:00,Catchweight,E-Prelim,M,K. Peterson,,,,,,,,,,
,Goro,Song Yadong,Petr Yan,130,L,UD, 900:00,Bantamweight,Main Card,M,K. Peterson,,,,,,,,,,
,Ian,Maycee Barber,Katlyn Cerminara,-205,W,UD, 900:00,Flyweight (W),Prelim,F,A. Glenn,,,,,,,,,,
,Joe,Kevin Holland,Michael Page,-135,L,UD, 900:00,Welterweight,Main Card,M,A. Glenn,,,,,,,,,,
,Kanta,Sean O'Malley,Marlon Vera,-275,W,UD, 1500:00,Bantamweight,Main Card,M,K. Peterson,,,,,,,,,,
,Noah,Asu Almabayev,CJ Vargas,-600,W,UD, 900:00,Catchweight,E-Prelim,M,K. Peterson,,,,,,,,,,
,Rav,Maycee Barber,Katlyn Cerminara,-205,W,UD, 900:00,Flyweight (W),Prelim,F,A. Glenn,,,,,,,,,,
,Taylan,Michael Page,Kevin Holland,115,W,UD, 900:00,Welterweight,Main Card,M,A. Glenn,,,,,,,,,,
,Ty,Mateusz Gamrot,Rafael Dos Anjos,-480,W,UD, 900:00,Lightweight,Main Card,M,D. Miragliotta,,,,,,,,,,
Week 2,Aaron,Tai Tuivasa,Marcin Tybura,-115,L,Round 1 Sub, 248:00,Heavyweight,Main Card,M,H. Dean,,,,,,,,,,
,Alex,Tai Tuivasa,Marcin Tybura,-115,L,Round 1 Sub, 248:00,Heavyweight,Main Card,M,H. Dean,,,,,,,,,,
,Chika,Bryan Battle,Ange Loosa,-180,W,NC, 360:00,Welterweight,Main Card,M,M. Beltran,,,,,,,,,,
,Daniel,Kennedy Nzechukwu,Ovince St. Preux,-700,L,SD, 900:00,Light Heavyweight,Main Card,M,M. Smith,,,,,,,,,,
,Ian,Tai Tuivasa,Marcin Tybura,-115,L,Round 1 Sub, 248:00,Heavyweight,Main Card,M,H. Dean,,,,,,,,,,
,Kanta,Tai Tuivasa,Marcin Tybura,-115,L,Round 1 Sub, 248:00,Heavyweight,Main Card,M,H. Dean,,,,,,,,,,
,Noah,Bryan Battle,Ange Loosa,-180,W,NC, 360:00,Welterweight,Main Card,M,M. Beltran,,,,,,,,,,
,Rav,Kennedy Nzechukwu,Ovince St. Preux,-700,L,SD, 900:00,Light Heavyweight,Main Card,M,M. Smith,,,,,,,,,,
,Taylan,Kennedy Nzechukwu,Ovince St. Preux,-700,L,SD, 900:00,Light Heavyweight,Main Card,M,M. Smith,,,,,,,,,,
,Ty,Kennedy Nzechukwu,Ovince St. Preux,-700,L,SD, 900:00,Light Heavyweight,Main Card,M,M. Smith,,,,,,,,,,
Week 3,Chika,Rose Namajunas,Amanda Ribas,-210,W,UD, 1500:00,Flyweight (W),Main Card,F,J. Herzog,,,,,,,,,,
,Noah,Fernando Padila,Luis Pajuelo,-165,W,Round 1 Sub, 165:00,Featherweight,Main Card,M,J. Herzog,,,,,,,,,,
Week 4,Chika,Bill Algeo,Kyle Nelson,-245,L,Round 1 TKO, 249:00,Featherweight,Main Card,M,G. Copeland,,,,,,,,,,
,Noah,Bruno Silva,Chris Weidman,-235,L,UD, 738:00,Middleweight,Main Card,M,G. Copeland,,,,,,,,,,
UFC 300,Parlay,E-Prelim,Fight 1,Fight 2,Fight 3,Fight 4,Prelim,Fight 1,Fight 2,Fight 3,Fight 4,Main Card,Fight 1,Fight 2,Fight 3,Fight 4,Fight 5,Result,Parlay Odds,Redemption (Y/N),
UFC 300,Aaron,1/4,Deiveson Figueiredo,Jim Miller,Marina Rodriguez,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,4/5,Bo Nickal,Arman Tsarukyan,Justin Gaethje,Zhang Weili,Alex Pereira,9/13,345,N,
UFC 300,Alex,2/4,Deiveson Figueiredo,Jim Miller,Jessica Andrade,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,2/5,Cody Brundage,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,8/13,345,N,
UFC 300,Chika,1/4,Cody Garbrant,Jim Miller,Jessica Andrade,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Max Holloway,Zhang Weili,Jamahal Hill,8/13,345,N,
UFC 300,Daniel,2/4,Deiveson Figueiredo,Jim Miller,Jessica Andrade,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,9/13,345,N,
UFC 300,Goro,2/4,Deiveson Figueiredo,Jim Miller,Jessica Andrade,Jalin Turner,3/4,Diego Lopes,Kayla Harrison,Calvin Kattar,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,8/13,3453,N,
UFC 300,Ian,2/4,Deiveson Figueiredo,Jim Miller,Jessica Andrade,Jalin Turner,3/4,Diego Lopes,Holly Holm,Aljamain Sterling,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,8/13,4534,N,
UFC 300,Joe,1/4,Deiveson Figueiredo,Jim Miller,Marina Rodriguez,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,8/13,534,N,
UFC 300,Kanta,1/4,Deiveson Figueiredo,Jim Miller,Marina Rodriguez,Jalin Turner,2/4,Diego Lopes,Holly Holm,Calvin Kattar,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,6/13,53,N,
UFC 300,Noah,3/4,Deiveson Figueiredo,Bobby Green,Jessica Andrade,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,10/13,4534,Y,
UFC 300,Rav,2/4,Deiveson Figueiredo,Bobby Green,Marina Rodriguez,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,4/5,Bo Nickal,Arman Tsarukyan,Justin Gaethje,Zhang Weili,Alex Pereira,10/13,534,Y,
UFC 300,Taylan,2/4,Deiveson Figueiredo,Bobby Green,Marina Rodriguez,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,4/5,Bo Nickal,Charles Oliveira,Max Holloway,Zhang Weili,Alex Pereira,10/13,5345,Y,
UFC 300,Ty,2/4,Deiveson Figueiredo,Jim Miller,Jessica Andrade,Jalin Turner,4/4,Diego Lopes,Kayla Harrison,Aljamain Sterling,Jiri Prochazka,3/5,Bo Nickal,Charles Oliveira,Justin Gaethje,Zhang Weili,Alex Pereira,9/13,345,N,
Week 5,Noah,Ivana Petrovic,Liang Na,-500,W,Round 3 Sub, 689:00,Flyweight (W),Prelim,F,C. Togoni,,,,,,,,,,
,Rav,Jhonata Diniz,Austen Lane,-330,W,Round 2 TKO, 432:00,Heavyweight,Main Card,M,M. Smith,,,,,,,,,,
,Taylan,James Llontop,Chris Padilla,-450,L,Round 1 Sub, 273:00,Catchweight,Prelim,M,H. Dean,,,,,,,,,,
Week 6,Noah,Ismael Bonfim,Vinc Pichel,-550,W,UD, 900:00,Lightweight,E-Prelim,M,M. Beltran,,,,,,,,,,
,Rav,Caio Borralho,Paul Craig,-600,W,Round 2 TKO, 430:00,Middleweight,Main Card,M,M. Goddard,,,,,,,,,,
Week 7,Noah,Derrick Lewis,Rodrigo Nascimento,-165,W,Round 3 TKO, 649:00,Heavyweight,Main Card,M,J. Herzog,,,,,,,,,,
,Rav,Derrick Lewis,Rodrigo Nascimento,-165,W,Round 3 TKO, 649:00,Heavyweight,Main Card,M,J. Herzog,,,,,,,,,,
Week 8,Noah,Tom Nolan,Victor Martinez,-500,W,Round 1 TKO, 230:00,Lightweight,Prelim,M,M. Smith,,,,,,,,,,
,Rav,Lerone Murphy,Edson Barboza,-150,W,UD, 1500:00,Featherweight,Main Card,M,H. Dean,,,,,,,,,,
Week 9,Noah,Jailton Almeida,Alexander Romanov,-350,W,Round 1 Sub, 147:00,Heavyweight,Prelim,M,V. Ribeiro,,,,,,,,,,
,Rav,Islam Makhachev,Dustin Poirier,-500,W,Round 5 Sub, 1362:00,Lightweight,Main Card,M,K. Peterson,,,,,,,,,,
Week 10,Noah,Brunno Ferreira,Dustin Stoltzfus,-275,W,Round 1 TKO, 291:00,Middleweight,Main Card,M,J. Herzog,,,,,,,,,,
,Rav,Raul Rosas Jr,Ricky Turcios,-225,W,Round 2 Sub, 442:00,Bantamweight,Main Card,M,B. Grice,,,,,,,,,,
Week 11,Noah,Nate Maness,Jimmy Flick,-560,W,UD, 900:00,Flyweight,Prelim,M,M. Beltran,,,,,,,,,,
,Rav,Asu Almabayev,Jose Johnson,-560,W,UD, 900:00,Flyweight,Main Card,M,H. Dean,,,,,,,,,,
Week 12,Noah,Sergei Pavlovich,Alexander Volkov,-245,L,UD, 900:00,Heavyweight,Main Card,M,M. Goddard,,,,,,,,,,
,Rav,Shara Magomedov,Antonio Trocoli,-650,W,Round 3 TKO, 747:00,Middleweight,Main Card,M,M. Goddard,,,,,,,,,,
,Rav,,,,,,,,,,,Y,,,,,,,,,
