Week,Player,Chosen Fighter,Opponent,Odds,W_L,Result,Fight Length,Weight Class,Fight Location,M_F,Ref,Season Victory
Week 1,Aaron,Gilbert Burns,Sean Brady,160,L,UD, 1500:00,Welterweight,Main Card,M,H. Dean,
,Alex,Gabriel Santos,Yizah,-265,W,UD, 900:00,Featherweight,Prelim,M,K. Hatley,
,Chika,Gilbert Burns,Sean Brady,160,L,UD, 1500:00,Welterweight,Main Card,M,H. Dean,
,Conor,Jaqueline Amorim,Vanessa Demopoulos,-310,W,Round 1 Sub, 208:00,Strawweight (W),Prelim,F,J. Montalvo,
,Daniel,Issac Dulgarian,Brendon Marotte,-2500,W,Round 2 Sub, 559:00,Featherweight,Prelim,M,M. Smith,
,Goro,Trevor Peek,Yanal Ashmouz,-125,L,UD, 900:00,Lightweight,Main Card,M,H. Dean,
,Ian,Andre Petroski,Dylan Budka,-265,W,UD, 900:00,Catchweight,Prelim,M,M. Smith,
,Joe,Jessica Andrade,Natalia Silva,250,L,UD, 900:00,Flyweight (W),Main Card,F,K. Hatley,
,Kanta,Issac Dulgarian,Brendon Marotte,-2500,W,Round 2 Sub, 559:00,Featherweight,Prelim,M,M. Smith,
,Noah,Sean Brady,Gilbert Burns,-190,W,UD, 1500:00,Welterweight,Main Card,M,H. Dean,
,Rav,Gilbert Burns,Sean Brady,160,L,UD, 1500:00,Welterweight,Main Card,M,H. Dean,
,Sam,Natalia Silva,Jessica Andrade,-320,W,UD, 900:00,Flyweight (W),Main Card,F,K. Hatley,
,Scott,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Taylan,Issac Dulgarian,Brendon Marotte,-2500,W,Round 2 Sub, 559:00,Featherweight,Prelim,M,M. Smith,
,Ty,Issac Dulgarian,Brendon Marotte,-2500,W,Round 2 Sub, 559:00,Featherweight,Prelim,M,M. Smith,
Week 2,Alex,Daniel Zellhuber,Esteban Rubovics,-190,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Conor,Daniel Zellhuber,Esteban Rubovics,-190,L,SD, 900:00,Lightweight,Main Card,M,J. Herzog,
,Daniel,Raul Rosas Jr,Aoriqileng,-1000,W,UD, 900:00,Bantamweight,E-Prelim,M,C. Tognoni,
,Ian,Diego Lopes,Brian Ortega,-195,W,UD, 900:00,Featherweight,Main Card,M,M. Goddard,
,Kanta,Raul Rosas Jr,Aoriqileng,-1000,W,UD, 900:00,Bantamweight,E-Prelim,M,C. Tognoni,
,Noah,Valentina Shevchenko,Alexa Grasso,105,W,UD, 1500:00,Flyweight (W),Main Card,F,M. Smith,
,Sam,Not Applicable,Not Applicable,Not Applicable,L,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,
,Taylan,Raul Rosas Jr,Aoriqileng,-1000,W,UD, 900:00,Bantamweight,E-Prelim,M,C. Tognoni,
,Ty,Diego Lopes,Brian Ortega,-195,W,UD, 900:00,Featherweight,Main Card,M,M. Goddard,
,Parlay,Fight 1,Fight 2,Fight 3,Co-Main,Main event,,Result,Redemption (Y/N),,,
,Aaron,Ronaldo Rodriguez,Daniel Zellhuber,Diego Lopes,Alexa Grasso,Sean O'Malley,,2/5,N,,,
,Chika,Ronaldo Rodriguez,Daniel Zellhuber,Diego Lopes,Valentina Shevchenko,Sean O'Malley,,3/5,N,,,
,Goro,Ronaldo Rodriguez,Esteban Rubovics,Diego Lopes,Alexa Grasso,Sean O'Malley,,3/5,N,,,
,Joe,Ronaldo Rodriguez,Daniel Zellhuber,Diego Lopes,Valentina Shevchenko,Merab Dvalishvili,,4/5,N,,,
,Rav,Ronaldo Rodriguez,Daniel Zellhuber,Brian Ortega,Alexa Grasso,Merab Dvalishvili,,2/5,N,,,
,Scott,Ronaldo Rodriguez,Daniel Zellhuber,Diego Lopes,Valentina Shevchenko,Sean O'Malley,,3/5,N,,,
Week 3,Daniel,L'udovit Klein,Roosevelt Roberts,-1000,W,UD, 900:00,Lightweight,Prelim,M,C. Chapuis,
,Ian,Benoit St. Denis,Renato Moicano,-290,L,Round 2 TKO, 600:00,Lightweight,Main Card,M,M. Goddard,
,Kanta,Bryan Battle,Kevin Jousset,-160,W,Round 2 TKO, 527:00,Welterweight,Main Card,M,H. Dean,
,Noah,Benoit St. Denis,Renato Moicano,-290,L,Round 2 TKO, 600:00,Lightweight,Main Card,M,M. Goddard,
