Player,Underdog,Heavy Favorite (-300),Season Win,Picks Made,Seasons Played,Finish Rate,Redemption,Longest Season,Odds
Ty,0,18,1,27,7,9,0,6,-362.0
Rav,3,28,2,48,10,28,3,10,-240.0
Daniel,0,31,2,38,9,20,2,10,-422.0
Conor,2,5,0,12,4,8,0,4,-179.0
Alex,0,16,1,33,10,16,0,8,-272.0
Noah,1,7,0,22,6,8,1,12,-240.0
Sam,0,4,1,12,4,5,1,5,-290.0
Scott,0,3,0,11,6,4,0,3,-250.0
Joe,7,13,1,30,10,16,0,10,-130.0
Felix,0,2,0,4,2,2,0,3,-388.0
Goro,6,9,0,23,10,12,0,7,-162.0
Taylan,3,30,0,43,10,26,2,8,-260.0
Ian,1,16,0,38,10,15,1,10,-251.0
Aaron,8,5,0,24,10,11,1,6,103.0
Kanta,7,11,2,32,10,18,3,9,-138.0
Chika,7,15,0,39,10,17,0,7,-169.0
