Seasons,Player,Season Odds,Season Odds Rank,Season Fight Length,Season Fight Length Rank,Redemption
Season 01,Joe,120,1,215,1,N
Season 01,Chika,-322,8,493,2,N
Season 01,Rav,-215,3,518,3,N
Season 01,Kanta,-286,5,664,4,Y
Season 01,Taylan,108,2,671,5,N
Season 01,Alex,-248,4,722,6,N
Season 01,Goro,-321,7,732,7,N
Season 01,Ian,-318,6,820,8,N
Season 01,Aaron,-333,9,900,9,N
Season 02,Rav,-449,10,528,1,Y
Season 02,Taylan,-323,9,533,2,N
Season 02,Goro,125,1,561,3,N
Season 02,Joe,125,2,561,4,N
Season 02,Kanta,125,3,561,5,N
Season 02,Chika,-123,4,759,6,N
Season 02,Aaron,-227,5,836,7,N
Season 02,Alex,-250,6,900,8,N
Season 02,Ian,-274,7,900,9,N
Season 02,Daniel,-290,8,900,10,N
Season 03,Aaron,-177,2,540,1,N
Season 03,Daniel,-409,11,552,2,N
Season 03,Taylan,-182,3,571,3,N
Season 03,Alex,-384,10,677,4,N
Season 03,Kanta,-254,5,743,5,N
Season 03,Goro,-270,6,788,6,N
Season 03,Rav,-369,9,822,7,N
Season 03,Chika,-329,7,894,8,N
Season 03,Joe,-172,1,900,9,N
Season 03,Ian,-203,4,900,10,N
Season 03,Scott,-339,8,1500,11,N
Season 04,Alex,-169,5,389,1,N
Season 04,Goro,-119,2,563,2,N
Season 04,Scott,-287,7,573,3,N
Season 04,Joe,-122,3,575,4,N
Season 04,Ian,-268,6,620,5,N
Season 04,Aaron,-115,1,761,6,N
Season 04,Kanta,-126,4,761,7,N
Season 04,Chika,-352,9,882,8,N
Season 04,Rav,-352,10,882,9,N
Season 04,Ty,-352,12,882,10,N
Season 04,Taylan,-352,11,974,11,N
Season 04,Daniel,-339,8,994,12,N
Season 05,Taylan,-545,12,528,1,Y
Season 05,Kanta,-325,10,550,2,N
Season 05,Aaron,250,1,582,3,Y
Season 05,Goro,100,2,703,4,N
Season 05,Ty,-315,9,787,5,N
Season 05,Alex,-294,8,811,6,N
Season 05,Joe,-253,6,818,7,N
Season 05,Ian,-214,5,829,8,Y
Season 05,Rav,-254,7,868,9,N
Season 05,Daniel,-379,11,880,10,Y
Season 05,Noah,-190,4,900,11,N
Season 05,Chika,-144,3,918,12,N
Season 06,Noah,-287,9,572,1,Y
Season 06,Aaron,-132,2,574,2,N
Season 06,Ian,-147,4,574,3,N
Season 06,Alex,-193,7,574,4,N
Season 06,Taylan,-198,8,691,5,Y
Season 06,Chika,-191,6,752,6,N
Season 06,Rav,-298,10,826,7,Y
Season 06,Kanta,-162,5,874,8,N
Season 06,Goro,129,1,900,9,N
Season 06,Joe,-135,3,900,10,N
Season 06,Ty,-569,11,900,11,N
Season 06,Daniel,-646,12,900,12,N
Season 07,Daniel,-256,12,235,1,N
Season 07,Sam,-250,10,289,2,N
Season 07,Conor,-145,5,423,3,N
Season 07,Alex,-251,11,482,4,N
Season 07,Taylan,-279,13,500,5,N
Season 07,Aaron,100,1,688,6,N
Season 07,Goro,100,2,688,7,N
Season 07,Joe,100,3,688,8,N
Season 07,Kanta,100,4,688,9,N
Season 07,Rav,-185,8,693,10,N
Season 07,Ty,-356,15,788,11,N
Season 07,Chika,-225,9,802,12,N
Season 07,Ian,-167,6,1200,13,N
Season 07,Scott,-167,7,1200,14,N
Season 07,Noah,-279,14,1500,15,N
Season 08,Conor,-235,9,554,1,N
Season 08,Sam,-366,11,656,2,Y
Season 08,Kanta,-176,7,672,3,Y
Season 08,Taylan,-1428,14,729,4,N
Season 08,Daniel,-585,13,742,5,Y
Season 08,Ian,-242,10,800,6,N
Season 08,Ty,-422,12,843,7,N
Season 08,Joe,250,1,900,8,N
Season 08,Goro,-125,5,900,9,N
Season 08,Alex,-221,8,900,10,N
Season 08,Noah,-156,6,1200,11,N
Season 08,Aaron,160,2,1500,12,N
Season 08,Chika,160,3,1500,13,N
Season 08,Rav,160,4,1500,14,N
Season 09,Noah,-150,4,298,1,N
Season 09,Taylan,-630,15,417,2,N
Season 09,Ian,-362,11,498,3,N
Season 09,Kanta,251,2,499,4,Y
Season 09,Rav,122,3,606,5,Y
Season 09,Chika,-160,6,696,6,N
Season 09,Goro,-236,7,699,7,N
Season 09,Conor,-158,5,701,8,N
Season 09,Daniel,-466,14,783,9,N
Season 09,Felix,-388,12,838,10,N
Season 09,Ty,-388,13,838,11,N
Season 09,Sam,-276,10,885,12,N
Season 09,Aaron,525,1,900,13,N
Season 09,Scott,-260,8,900,14,N
Season 09,Alex,-267,9,900,15,N
Season 10,Scott,-319,13,222,1,N
Season 10,Alex,-315,12,396,2,N
Season 10,Joe,-205,6,509,3,N
Season 10,Conor,-357,14,577,4,N
Season 10,Aaron,-124,2,633,5,N
Season 10,Goro,-135,3,697,6,N
Season 10,Daniel,-443,15,702,7,N
Season 10,Chika,-106,1,887,8,N
Season 10,Kanta,-160,4,900,9,N
Season 10,Ian,-254,7,900,10,N
Season 10,Ty,-254,8,900,11,N
Season 10,Sam,-262,9,900,12,N
Season 10,Noah,-293,10,900,13,N
Season 10,Taylan,-293,11,900,14,N
Season 10,Rav,-179,5,1045,15,N
