Season,Player,Chosen Fighter,Opponent,Odds,W_L,Fight Length,Result,Weight Class,Fight Location,M_F,Ref
Season 01,Aaron,Jessica Andrade,Lauren Murphy,-500,W, 900:00,UD,Flyweight (W),Main Card,F,O. Maia
Season 01,Aaron,Da-Woon Jung,Devin Clark,-250,L, 900:00,UD,Light Heavyweight,Main Card,M,M. Goddard
Season 01,Alex,Thiago Moises,Melquizael Costa,-380,W, 545:00,Round 2 Sub,Lightweight,Prelim,M,O. Maia
Season 01,Alex,Doo-Ho Choi,Kyle Nelson,-185,L, 900:00,Draw,Featherweight,Main Card,M,C. Tognoni
Season 01,Chika,Thiago Moises,Melquizael Costa,-380,W, 545:00,Round 2 Sub,Lightweight,Prelim,M,O. Maia
Season 01,Chika,Tatsuro Taira,Jesus Aguilar,-1200,W, 260:00,Round 1 Sub,Flyweight,Prelim,M,C. Tognoni
Season 01,Chika,Jack Della Maddelana,Randy Brown,-330,W, 133:00,Round 2 Sub,Welterweight,Main Card,M,M. Goddard
Season 01,Chika,Zac Pauga,Jordan Wright,-275,W, 900:00,UD,Light Heavyweight,Main Card,M,M. Smith
Season 01,Chika,Joe Solecki,Carl Deaton,-600,W, 595:00,Round 2 Sub,Lightweight,Prelim,M,J. Herzog
Season 01,Chika,Jon Jones,Ciryl Gane,-180,W, 124:00,Round 1 Sub,Heavyweight,Main Card,M,M. Goddard
Season 01,Chika,Said Nurmagomedov,Jonathan Martinez,-230,L, 900:00,UD,Bantamweight,Main Card,M,K. Peterson
Season 01,Goro,Gilbert Burns,Neil Magny,-550,W, 255:00,Round 1 Sub,Welterweight,Main Card,M,F. Portella
Season 01,Goro,Tatsuro Taira,Jesus Aguilar,-1200,W, 260:00,Round 1 Sub,Flyweight,Prelim,M,C. Tognoni
Season 01,Goro,Islam Makhachev,Alexander Volkanovski,-375,W, 1500:00,UD,Lightweight,Main Card,M,M. Goddard
Season 01,Goro,Mayra Bueno Silva,Lina Lansberg,-500,W, 585:00,Round 2 Sub,Bantamweight (W),Prelim,F,J. Montalvo
Season 01,Goro,Nurullo Aliev,Rafael Alves,-190,W, 900:00,MD,Lightweight,Prelim,M,M. Smith
Season 01,Goro,Jon Jones,Ciryl Gane,-180,W, 124:00,Round 1 Sub,Heavyweight,Main Card,M,M. Goddard
Season 01,Goro,Petr Yan,Merab Dvalishvili,-275,L, 1500:00,UD,Bantamweight,Main Card,M,H. Dean
Season 01,Ian,Josiane Nunes,Zarah Fairn,-560,W, 900:00,UD,Featherweight (W),E-Prelim,F,M. Goddard
Season 01,Ian,Marcin Tybura,Blagoy Ivanov,-140,W, 900:00,UD,Heavyweight,Main Card,M,M. Smith
Season 01,Ian,Islam Makhachev,Alexander Volkanovski,-375,W, 1500:00,UD,Lightweight,Main Card,M,M. Goddard
Season 01,Ian,Alexander Hernandez,Jim Miller,-235,W, 900:00,UD,Lightweight,Main Card,M,H. Dean
Season 01,Ian,Tatiana Suarez,Montana De La Rosa,-800,W, 471:00,Round 2 Sub,Flyweight (W),Main Card,F,C. Tognoni
Season 01,Ian,Bo Nickal,Jaimie Pickett,-2000,W, 174:00,Round 1 Sub,Middleweight,Prelim,M,K. Peterson
Season 01,Ian,Said Nurmagomedov,Jonathan Martinez,-230,L, 900:00,UD,Bantamweight,Main Card,M,K. Peterson
Season 01,Joe,Ihor Potieria,Mauricio Rua,-200,W, 245:00,Round 1 TKO,Light Heavyweight,Prelim,M,H. Dean
Season 01,Joe,Derrick Lewis,Serghei Spivac,190,L, 185:00,Round 1 Sub,Heavyweight,Main Card,M,M. Goddard
