Player,Total Average Odds,Total Average Odds Rank,Average Correct Picks,Average Correct Picks Rank,Total NA Picks,Average Fight Time,Fight Time Rank,Total TFG Wins
Aaron,103,1,1.3,13,0,12:08,7,0
Joe,-130,2,2.1,9,1,10:27,3,1
Kanta,-138,3,2.1,10,0,11:23,5,2
Goro,-162,4,1.3,14,0,11:55,6,0
Chika,-169,5,2.9,5,0,12:59,13,0
Conor,-179,6,2.0,11,0,09:23,1,0
Rav,-240,7,3.7,1,0,12:52,12,2
Noah,-240,8,2.5,7,2,12:28,10,0
Scott,-250,9,0.8,16,3,13:19,14,0
Ian,-251,10,2.7,6,0,12:24,9,0
Taylan,-260,11,3.1,3,2,10:06,2,0
Alex,-272,12,2.4,8,0,10:32,4,1
Sam,-290,13,2.0,12,1,12:51,11,1
Ty,-362,14,3.0,4,0,13:52,15,1
Felix,-388,15,1.0,15,1,13:58,16,0
Daniel,-422,16,3.2,2,0,12:14,8,2
